id,length,positivity,negativity,pubdate_day,pubdate_month,pubdate_year,pubdate_dayofweek,pubdate_weeknr
569f5cd62d0059663a7bed62,379,1,-2,9,1,2014,3,1
569f5cd72d0059663a7bf141,6519,3,-3,15,1,2014,2,2
569f5cd82d0059663a7bf25f,1277,1,-2,16,1,2014,3,2
569f5cd82d0059663a7bf274,2227,1,-3,16,1,2014,3,2
569f5cd82d0059663a7bf2eb,1994,3,-3,17,1,2014,4,2
569f5cd82d0059663a7bf300,2426,3,-4,17,1,2014,4,2
569f5cd82d0059663a7bf383,4624,2,-3,18,1,2014,5,2
569f5cdb2d0059663a7bf522,1108,3,-2,20,1,2014,0,3
569f5cdb2d0059663a7bf539,2096,3,-3,20,1,2014,0,3
569f5cdc2d0059663a7bf6d8,1999,3,-3,30,1,2014,3,4
569f5cdd2d0059663a7bf6f4,4106,3,-3,30,1,2014,3,4
569f5ceb2d0059663a7c0f07,1136,3,-3,4,2,2014,1,5
569f5ceb2d0059663a7c103e,2113,2,-3,15,2,2014,5,6
569f5cf72d0059663a7c255a,819,3,-2,12,2,2014,2,6
569f5cf82d0059663a7c25ac,3616,3,-3,12,2,2014,2,6
569f5cf82d0059663a7c2649,487,2,-1,12,2,2014,2,6
569f5cf82d0059663a7c274a,947,1,-2,13,2,2014,3,6
569f5cf92d0059663a7c2818,569,1,-2,14,2,2014,4,6
569f5cf92d0059663a7c2998,764,2,-2,15,2,2014,5,6
569f5cfc2d0059663a7c2f2a,326,1,-1,19,2,2014,2,7
569f5cfc2d0059663a7c2fd0,753,1,-1,20,2,2014,3,7
569f5cfc2d0059663a7c2fec,3072,4,-3,20,2,2014,3,7
569f5cfd2d0059663a7c3104,768,2,-1,20,2,2014,3,7
569f5cfd2d0059663a7c3137,908,1,-2,21,2,2014,4,7
569f5cfd2d0059663a7c3173,3101,3,-3,21,2,2014,4,7
569f5cfe2d0059663a7c350c,1214,2,-2,24,2,2014,0,8
569f5cfe2d0059663a7c350d,951,3,-1,24,2,2014,0,8
569f5d002d0059663a7c39fe,2429,2,-3,28,2,2014,4,8
569f5d062d0059663a7c3cb4,7557,3,-3,5,2,2014,2,5
569f5d062d0059663a7c3cb8,9527,3,-3,5,2,2014,2,5
569f5d062d0059663a7c3cc0,10642,3,-3,5,2,2014,2,5
569f5d062d0059663a7c3cce,13471,3,-4,5,2,2014,2,5
569f5d062d0059663a7c3ce3,16799,4,-4,5,2,2014,2,5
569f5d062d0059663a7c3ced,18054,4,-4,5,2,2014,2,5
569f5d062d0059663a7c3cf1,19912,4,-4,5,2,2014,2,5
569f5d062d0059663a7c3cfb,19910,4,-4,5,2,2014,2,5
569f5d0b2d0059663a7c4315,577,1,-2,13,2,2014,3,6
569f5d0f2d0059663a7c4bab,1920,2,-2,24,2,2014,0,8
569f5d0f2d0059663a7c4c72,1986,3,-3,25,2,2014,1,8
569f5d102d0059663a7c4cc7,2264,1,-3,26,2,2014,2,8
569f5d102d0059663a7c4cce,2264,1,-3,26,2,2014,2,8
569f5d212d0059663a7c73e5,426,1,-3,3,3,2014,0,9
569f5d222d0059663a7c75f1,630,3,-1,5,3,2014,2,9
569f5d232d0059663a7c77c0,3520,4,-3,6,3,2014,3,9
569f5d242d0059663a7c797f,5887,3,-4,7,3,2014,4,9
569f5d292d0059663a7c7f0b,682,1,-2,12,3,2014,2,10
569f5d292d0059663a7c7f0c,682,1,-2,12,3,2014,2,10
569f5d292d0059663a7c7fea,701,1,-3,13,3,2014,3,10
569f5d2a2d0059663a7c800a,3167,3,-3,13,3,2014,3,10
569f5d2a2d0059663a7c800f,688,2,-3,13,3,2014,3,10
569f5d2a2d0059663a7c8020,783,2,-2,13,3,2014,3,10
569f5d2c2d0059663a7c8344,615,1,-2,19,3,2014,2,11
569f5d2d2d0059663a7c85d6,646,1,-2,21,3,2014,4,11
569f5d2e2d0059663a7c8891,822,3,-1,23,3,2014,6,12
569f5d2e2d0059663a7c88d2,1338,3,-3,24,3,2014,0,12
569f5d2f2d0059663a7c8a75,906,2,-2,25,3,2014,1,12
569f5d2f2d0059663a7c8bb8,370,1,-2,26,3,2014,2,12
569f5d2f2d0059663a7c8bed,3742,3,-3,26,3,2014,2,12
569f5d302d0059663a7c8d2c,1421,1,-3,27,3,2014,3,12
569f5d312d0059663a7c8f13,3794,3,-3,28,3,2014,4,12
569f5d342d0059663a7c9624,3714,2,-4,6,3,2014,3,9
