gender,age,education,radio,newspaper,tv,internet
1,40,4,7,6,4,4
1,42,5,5,1,2,1
1,15,,6,0,5,1
0,18,4,2,0,2,3
0,53,4,2,3,1,0
1,30,4,5,1,6,7
1,36,6,5,1,0,3
0,32,6,7,2,7,5
1,29,4,5,0,6,6
0,59,1,2,7,5,7
0,32,7,0,1,2,3
1,32,,5,1,5,7
0,54,4,0,0,7,4
0,59,1,2,0,4,0
0,45,2,4,6,7,2
0,67,3,2,6,5,0
0,68,1,0,5,3,0
0,59,4,3,6,1,0
1,39,2,0,0,3,5
1,54,5,5,1,2,2
1,49,2,6,3,2,1
0,16,1,0,0,0,0
1,33,4,3,6,4,7
1,45,7,5,1,6,6
1,36,4,5,2,7,7
1,46,2,5,0,0,0
1,39,3,7,6,3,5
0,61,1,0,1,5,0
0,68,5,7,6,7,0
0,51,3,0,1,7,7
1,56,7,6,7,4,4
1,14,1,3,2,0,0
0,43,4,1,6,7,7
0,62,3,7,7,2,0
1,15,5,0,1,3,2
0,45,6,0,1,4,7
1,43,7,0,1,1,7
1,64,4,0,6,7,0
1,20,4,3,2,4,0
0,72,3,0,6,7,0
0,33,4,1,1,0,5
1,64,2,6,1,7,7
1,77,4,7,6,6,0
0,68,3,7,6,5,0
0,49,4,7,7,2,7
0,82,6,0,0,7,0
0,58,4,0,1,5,0
0,31,7,5,6,4,6
0,63,5,6,0,1,1
1,58,3,0,7,5,0
1,16,3,0,1,4,1
1,54,2,7,1,7,7
0,59,4,7,0,5,0
0,52,2,0,0,3,0
0,52,6,4,5,2,0
0,42,4,3,5,5,0
0,37,6,0,1,4,1
0,20,5,7,1,5,2
1,50,2,0,6,7,0
1,41,7,3,0,7,0
1,41,6,0,6,4,3
0,32,7,7,6,5,0
0,56,3,0,7,4,0
1,32,6,4,1,7,3
1,37,4,5,4,4,0
0,27,4,2,0,7,7
1,18,5,1,1,1,7
1,44,2,0,6,0,3
0,59,4,7,0,0,0
0,29,6,7,1,3,4
1,30,6,4,0,0,6
0,47,3,0,0,1,0
1,43,4,5,0,2,3
0,28,4,7,1,1,1
1,34,6,5,0,7,7
1,15,3,0,0,0,2
1,78,2,1,7,7,5
1,44,2,5,1,2,0
0,33,7,1,0,5,6
1,68,6,6,6,6,1
1,18,5,0,0,3,6
0,63,4,7,6,6,0
1,54,6,4,6,4,5
1,40,7,2,6,5,5
0,50,4,4,6,7,0
1,13,1,7,1,1,0
1,23,7,0,0,0,7
1,46,7,0,0,0,0
0,65,3,0,6,7,0
0,31,4,0,0,7,7
1,56,6,7,0,1,4
1,16,5,7,2,0,0
1,66,6,7,7,7,7
0,46,4,0,6,2,1
1,17,4,0,2,3,0
1,15,1,3,0,0,0
1,24,7,3,2,2,7
0,13,6,0,0,3,1
0,61,2,0,5,5,3
1,59,3,5,6,4,0
