,wijk,stadsdeel,code,year,woz-waarde
225,Westindische Buurt,West,E43,2016,247949.0
226,Chassébuurt,West,E75,2016,241280.0
227,Bedrijventerrein Sloterdijk,Nieuw-West,F11,2016,
228,Slotermeer-Noordoost,Nieuw-West,F76,2016,139872.0
229,Slotermeer-Zuidwest,Nieuw-West,F77,2016,143594.0
230,Geuzenveld,Nieuw-West,F78,2016,171341.0
231,Eendracht,Nieuw-West,F79,2016,240299.0
232,Lutkemeer/Ookmeer,Nieuw-West,F80,2016,388082.0
233,Osdorp-Oost,Nieuw-West,F81,2016,169012.0
234,Osdorp-Midden,Nieuw-West,F82,2016,187561.0
235,De Punt,Nieuw-West,F83,2016,158564.0
236,Middelveldsche Akerpolder,Nieuw-West,F84,2016,279607.0
237,Slotervaart-Noord,Nieuw-West,F85,2016,191417.0
238,Overtoomse Veld,Nieuw-West,F86,2016,183992.0
239,Westlandgracht,Nieuw-West,F87,2016,207142.0
240,Sloter-/Riekerpolder,Nieuw-West,F88,2016,266544.0
241,Slotervaart-Zuid,Nieuw-West,F89,2016,185007.0
242,Zuidas,Zuid,K23,2016,265945.0
243,Oude Pijp,Zuid,K24,2016,277590.0
244,Nieuwe Pijp,Zuid,K25,2016,261891.0
245,Zuid-Pijp,Zuid,K26,2016,262840.0
246,Hoofddorppleinbuurt,Zuid,K44,2016,263192.0
247,Schinkelbuurt,Zuid,K45,2016,260700.0
248,Willemspark,Zuid,K46,2016,648801.0
249,Museumkwartier,Zuid,K47,2016,618389.0
250,Stadionbuurt,Zuid,K48,2016,297906.0
251,Apollobuurt,Zuid,K49,2016,677933.0
252,Scheldebuurt,Zuid,K52,2016,333869.0
253,IJselbuurt,Zuid,K53,2016,260950.0
254,Rijnbuurt,Zuid,K54,2016,251698.0
255,Prinses Irenebuurt eo,Zuid,K59,2016,509568.0
256,Buitenveldert-West,Zuid,K90,2016,261931.0
257,Buitenveldert-Oost,Zuid,K91,2016,241511.0
258,Weesperzijde,Oost,M27,2016,306506.0
259,Oosterparkbuurt,Oost,M28,2016,237609.0
260,Dapperbuurt,Oost,M29,2016,244155.0
261,Transvaalbuurt,Oost,M30,2016,233221.0
262,Indische Buurt-West,Oost,M31,2016,200048.0
263,Indische Buurt-Oost,Oost,M32,2016,213074.0
264,Oostelijk Havengebied,Oost,M33,2016,341516.0
265,Zeeburgereiland/Nieuwe Diep,Oost,M34,2016,145825.0
266,IJburg-West,Oost,M35,2016,335210.0
267,IJburg-Zuid,Oost,M51,2016,301349.0
268,Frankendael,Oost,M55,2016,228093.0
269,Middenmeer,Oost,M56,2016,293793.0
270,Betondorp,Oost,M57,2016,190501.0
271,De Omval/Overamstel,Oost,M58,2016,153618.0
272,Volewijck,Noord,N60,2016,159440.0
273,IJplein/Vogelbuurt,Noord,N61,2016,170429.0
274,Tuindorp Nieuwendam,Noord,N62,2016,184874.0
275,Tuindorp Buiksloot,Noord,N63,2016,174508.0
276,Nieuwendammerdijk/Buiksloterdijk,Noord,N64,2016,395063.0
277,Tuindorp Oostzaan,Noord,N65,2016,179297.0
278,Oostzanerwerf,Noord,N66,2016,195648.0
279,Kadoelen,Noord,N67,2016,275296.0
280,Waterlandpleinbuurt,Noord,N68,2016,173333.0
281,Buikslotermeer,Noord,N69,2016,154881.0
282,Banne Buiksloot,Noord,N70,2016,177431.0
283,Noordelijke IJ-oevers-West,Noord,N71,2016,251052.0
284,Noordelijke IJ-oevers-Oost,Noord,N72,2016,223900.0
285,Waterland,Noord,N73,2016,442483.0
286,Elzenhagen,Noord,N74,2016,287122.0
